state-province,domains,country,alpha_two_code,name,web_pages
,['akfarmitseda.ac.id'],Indonesia,ID,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,['http://www.akfarmitseda.ac.id/']
,['akprind.ac.id'],Indonesia,ID,Institut Sains & Teknologi Akprind,['http://www.akprind.ac.id/']
,['amikom.ac.id'],Indonesia,ID,STMIK AMIKOM Yogyakarta,['http://www.amikom.ac.id/']
,['stikesrsanwarmedika.ac.id'],Indonesia,ID,STIKES RS Anwar Medika,['http://www.stikesrsanwarmedika.ac.id/']
,['atmajaya.ac.id'],Indonesia,ID,Universitas Katolik Indonesia Atma Jaya,['http://www.atmajaya.ac.id/']
,['bakrie.ac.id'],Indonesia,ID,Universitas Bakrie,['http://www.bakrie.ac.id/']
,['binus.ac.id'],Indonesia,ID,Binus University,['http://www.binus.ac.id/']
,['stikes-ppni.ac.id'],Indonesia,ID,STIKES Bina Sehat PPNI Mojokerto,['http://www.stikes-ppni.ac.id/']
,['bunghatta.ac.id'],Indonesia,ID,Universitas Bung Hatta,['http://www.bunghatta.ac.id/']
,['dinus.ac.id'],Indonesia,ID,Universitas Dian Nuswantoro,['http://www.dinus.ac.id/']
,['gunadarma.ac.id'],Indonesia,ID,Universitas Gunadarma,['http://www.gunadarma.ac.id/']
,['ibnuchaldun.ac.id'],Indonesia,ID,Universitas Ibn Chaldun Jakarta,['http://www.ibnuchaldun.ac.id/']
,['indonusa.ac.id'],Indonesia,ID,Universitas Indonusa Esa Unggul,['http://www.indonusa.ac.id/']
,['ipb.ac.id'],Indonesia,ID,Bogor Agricultural University,['http://www.ipb.ac.id/']
,['ista.ac.id'],Indonesia,ID,Institut Sains dan Teknologi Al Kamal,['http://www.ista.ac.id/']
,['itats.ac.id'],Indonesia,ID,Institut Teknologi Adhi Tama Surabaya,['http://www.itats.ac.id/']
,['itb.ac.id'],Indonesia,ID,Institut Teknologi Bandung,['http://www.itb.ac.id/']
,['its.ac.id'],Indonesia,ID,Institut Teknologi Sepuluh Nopember,['http://www.its.ac.id/']
,['janabadra.ac.id'],Indonesia,ID,Universitas Janabadra,['http://www.janabadra.ac.id/']
,['jayabaya.ac.id'],Indonesia,ID,Universitas Jayabaya,['http://www.jayabaya.ac.id/']
,['machung.ac.id'],Indonesia,ID,Universitas Ma Chung,['http://www.machung.ac.id/']
,['umaha.ac.id'],Indonesia,ID,Universitas Maarif Hasyim Latif,['http://www.umaha.ac.id/']
,['mahendradatta.org'],Indonesia,ID,Universitas Mahendradatta,['http://www.mahendradatta.org/']
,['um.ac.id'],Indonesia,ID,Universitas Negeri Malang,['http://www.um.ac.id/']
,['maranatha.edu'],Indonesia,ID,Universitas Kristen Maranatha,['http://www.maranatha.edu/']
,['mercubuana.ac.id'],Indonesia,ID,Universitas Mercu Buana,['http://www.mercubuana.ac.id/']
,['moestopo.ac.id'],Indonesia,ID,Universitas Dr. R. Moestopo,['http://www.moestopo.ac.id/']
,['narotama.ac.id'],Indonesia,ID,Universitas Narotama,['http://www.narotama.ac.id/']
,['nommensen.org'],Indonesia,ID,Universitas HKBP Nommensen,['http://www.nommensen.org/']
,['pancabudi.ac.id'],Indonesia,ID,Universitas Pembangunan Panca Budi,['http://www.pancabudi.ac.id/']
,['paramadina.ac.id'],Indonesia,ID,Universitas Paramadina Mulya,['http://www.paramadina.ac.id/']
,['pasim.ac.id'],Indonesia,ID,Universitas Nasional Pasim,['http://www.pasim.ac.id/']
,['perbanas.ac.id'],Indonesia,ID,STIE Perbanas,['http://www.perbanas.ac.id/']
,['perbanas.id'],Indonesia,ID,Perbanas Institute,['http://perbanas.id/']
,['petra.ac.id'],Indonesia,ID,Universitas Kristen Petra,['http://www.petra.ac.id/']
,['pmbs.ac.id'],Indonesia,ID,Prasetiya Mulya Business School,['http://www.pmbs.ac.id/']
,['pnj.ac.id'],Indonesia,ID,Politeknik Negeri Jakarta,['http://www.pnj.ac.id/']
,['pnl.ac.id'],Indonesia,ID,Politeknik Negeri Lhokseumawe,['http://www.pnl.ac.id/']
,['polban.ac.id'],Indonesia,ID,Politeknik Negeri Bandung,['http://www.polban.ac.id/']
,['polines.ac.id'],Indonesia,ID,Politeknik Negeri Semarang,['http://www.polines.ac.id/']
,['polinpdg.ac.id'],Indonesia,ID,Politeknik Negeri Padang,['http://www.polinpdg.ac.id/']
,['polnep.ac.id'],Indonesia,ID,Politeknik Negeri Pontianak,['http://www.polnep.ac.id/']
,['poltek-malang.ac.id'],Indonesia,ID,Politeknik Negeri Malang,['http://www.poltek-malang.ac.id/']
,['poltekpos.ac.id'],Indonesia,ID,Politeknik Pos Indonesia,['http://www.poltekpos.ac.id/']
,['poltesa.ac.id'],Indonesia,ID,Politeknik Negeri Sambas,['http://www.poltesa.ac.id/']
,['puterabatam.ac.id'],Indonesia,ID,Universitas Putera Batam,['http://www.puterabatam.ac.id/']
,['sarjanawiyata.ac.id'],Indonesia,ID,Universitas Sarjanawiyata Tamansiswa,['http://www.sarjanawiyata.ac.id/']
,['sgu.ac.id'],Indonesia,ID,Swiss German University,['http://www.sgu.ac.id/']
,['sinus.ac.id'],Indonesia,ID,STMIK Sinar Nusantara,['http://www.sinus.ac.id/']
,['stan.ac.id'],Indonesia,ID,Sekolah Tinggi Akuntansi Negara (STAN),['http://www.stan.ac.id/']
,['stptrisakti.ac.id'],Indonesia,ID,Trisakti Institute of Tourism,['http://www.stptrisakti.ac.id/']
,['telkomuniversity.ac.id'],Indonesia,ID,Universitas Telkom,['http://www.telkomuniversity.ac.id/']
,['unklab.ac.id'],Indonesia,ID,Universitas Klabat,['http://www.unklab.ac.id/']
,['trisakti.ac.id'],Indonesia,ID,Universitas Trisakti,['http://www.trisakti.ac.id/']
,['uad.ac.id'],Indonesia,ID,Universitas Ahmad Dahlan,['http://www.uad.ac.id/']
,['uajy.ac.id'],Indonesia,ID,Universitas Atma Jaya Yogyakarta,['http://www.uajy.ac.id/']
,['ub.ac.id'],Indonesia,ID,Universitas Brawijaya,['http://www.ub.ac.id/']
,['ubaya.ac.id'],Indonesia,ID,Universitas Surabaya,['http://www.ubaya.ac.id/']
,['ubhara.ac.id'],Indonesia,ID,Universitas Bhayangkara Surabaya,['http://www.ubhara.ac.id/']
,['ubharajaya.ac.id'],Indonesia,ID,Universitas Bhayangkara Jakarta Raya,['http://www.ubharajaya.ac.id/']
,['ubm.ac.id'],Indonesia,ID,Universitas Bunda Mulia Jakarta,['http://www.ubm.ac.id/']
,['uda.ac.id'],Indonesia,ID,Universitas Darma Agung,['http://www.uda.ac.id/']
,['ugm.ac.id'],Indonesia,ID,Universitas Gadjah Mada,['http://www.ugm.ac.id/']
,['ui.ac.id'],Indonesia,ID,Universitas Indonesia,['http://www.ui.ac.id/']
,['uii.ac.id'],Indonesia,ID,Universitas Islam Indonesia,['http://www.uii.ac.id/']
,['uika-bogor.ac.id'],Indonesia,ID,Universitas Ibn Khaldun Bogor,['http://www.uika-bogor.ac.id/']
,['uinjkt.ac.id'],Indonesia,ID,Universitas Islam Jakarta,['http://www.uinjkt.ac.id/']
,['uir.ac.id'],Indonesia,ID,Universitas Islam Riau,['http://www.uir.ac.id/']
,['uisu.ac.id'],Indonesia,ID,Universitas Islam Sumatera Utara,['http://www.uisu.ac.id/']
,['ukdw.ac.id'],Indonesia,ID,Universitas Kristen Duta Wacana,['http://www.ukdw.ac.id/']
,['uki.ac.id'],Indonesia,ID,Universitas Kristen Indonesia,['http://www.uki.ac.id/']
,['ukit-tomohon.org'],Indonesia,ID,Universitas Kristen Indonesia Tomohon,['http://www.ukit-tomohon.org/']
,['ukrida.ac.id'],Indonesia,ID,Universitas Kristen Krida Wacana,['http://www.ukrida.ac.id/']
,['uksw.edu'],Indonesia,ID,Universitas Kristen Satya Wacana,['http://www.uksw.edu/']
,['umi.ac.id'],Indonesia,ID,Universitas Muslim Indonesia,['http://www.umi.ac.id/']
,['umi-mdn.edu'],Indonesia,ID,Universitas Methodist Indonesia,['http://www.umi-mdn.edu/']
,['umj.ac.id'],Indonesia,ID,Universitas Muhammadiyah Jakarta,['http://www.umj.ac.id/']
,['umk.ac.id'],Indonesia,ID,Universitas Muria Kudus,['http://www.umk.ac.id/']
,['umm.ac.id'],Indonesia,ID,Universitas Muhammadiyah Malang,['http://www.umm.ac.id/']
