id,name,domain,website,country
1,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,akfarmitseda.ac.id,http://www.akfarmitseda.ac.id/,Indonesia
2,Institut Sains & Teknologi Akprind,akprind.ac.id,http://www.akprind.ac.id/,Indonesia
3,STMIK AMIKOM Yogyakarta,amikom.ac.id,http://www.amikom.ac.id/,Indonesia
4,STIKES RS Anwar Medika,stikesrsanwarmedika.ac.id,http://www.stikesrsanwarmedika.ac.id/,Indonesia
5,Universitas Katolik Indonesia Atma Jaya,atmajaya.ac.id,http://www.atmajaya.ac.id/,Indonesia
6,Universitas Bakrie,bakrie.ac.id,http://www.bakrie.ac.id/,Indonesia
7,Binus University,binus.ac.id,http://www.binus.ac.id/,Indonesia
8,STIKES Bina Sehat PPNI Mojokerto,stikes-ppni.ac.id,http://www.stikes-ppni.ac.id/,Indonesia
9,Universitas Bung Hatta,bunghatta.ac.id,http://www.bunghatta.ac.id/,Indonesia
10,Universitas Dian Nuswantoro,dinus.ac.id,http://www.dinus.ac.id/,Indonesia
11,Universitas Gunadarma,gunadarma.ac.id,http://www.gunadarma.ac.id/,Indonesia
12,Universitas Ibn Chaldun Jakarta,ibnuchaldun.ac.id,http://www.ibnuchaldun.ac.id/,Indonesia
13,Universitas Indonusa Esa Unggul,indonusa.ac.id,http://www.indonusa.ac.id/,Indonesia
14,Bogor Agricultural University,ipb.ac.id,http://www.ipb.ac.id/,Indonesia
15,Institut Sains dan Teknologi Al Kamal,ista.ac.id,http://www.ista.ac.id/,Indonesia
16,Institut Teknologi Adhi Tama Surabaya,itats.ac.id,http://www.itats.ac.id/,Indonesia
17,Institut Teknologi Bandung,itb.ac.id,http://www.itb.ac.id/,Indonesia
18,Institut Teknologi Sepuluh Nopember,its.ac.id,http://www.its.ac.id/,Indonesia
19,Universitas Janabadra,janabadra.ac.id,http://www.janabadra.ac.id/,Indonesia
20,Universitas Jayabaya,jayabaya.ac.id,http://www.jayabaya.ac.id/,Indonesia
21,Universitas Ma Chung,machung.ac.id,http://www.machung.ac.id/,Indonesia
22,Universitas Maarif Hasyim Latif,umaha.ac.id,http://www.umaha.ac.id/,Indonesia
23,Universitas Mahendradatta,mahendradatta.org,http://www.mahendradatta.org/,Indonesia
24,Universitas Negeri Malang,um.ac.id,http://www.um.ac.id/,Indonesia
25,Universitas Kristen Maranatha,maranatha.edu,http://www.maranatha.edu/,Indonesia
26,Universitas Mercu Buana,mercubuana.ac.id,http://www.mercubuana.ac.id/,Indonesia
27,Universitas Dr. R. Moestopo,moestopo.ac.id,http://www.moestopo.ac.id/,Indonesia
28,Universitas Narotama,narotama.ac.id,http://www.narotama.ac.id/,Indonesia
29,Universitas HKBP Nommensen,nommensen.org,http://www.nommensen.org/,Indonesia
30,Universitas Pembangunan Panca Budi,pancabudi.ac.id,http://www.pancabudi.ac.id/,Indonesia
31,Universitas Paramadina Mulya,paramadina.ac.id,http://www.paramadina.ac.id/,Indonesia
32,Universitas Nasional Pasim,pasim.ac.id,http://www.pasim.ac.id/,Indonesia
33,STIE Perbanas,perbanas.ac.id,http://www.perbanas.ac.id/,Indonesia
34,Perbanas Institute,perbanas.id,http://perbanas.id/,Indonesia
35,Universitas Kristen Petra,petra.ac.id,http://www.petra.ac.id/,Indonesia
36,Prasetiya Mulya Business School,pmbs.ac.id,http://www.pmbs.ac.id/,Indonesia
37,Politeknik Negeri Jakarta,pnj.ac.id,http://www.pnj.ac.id/,Indonesia
38,Politeknik Negeri Lhokseumawe,pnl.ac.id,http://www.pnl.ac.id/,Indonesia
39,Politeknik Negeri Bandung,polban.ac.id,http://www.polban.ac.id/,Indonesia
40,Politeknik Negeri Semarang,polines.ac.id,http://www.polines.ac.id/,Indonesia
41,Politeknik Negeri Padang,polinpdg.ac.id,http://www.polinpdg.ac.id/,Indonesia
42,Politeknik Negeri Pontianak,polnep.ac.id,http://www.polnep.ac.id/,Indonesia
43,Politeknik Negeri Malang,poltek-malang.ac.id,http://www.poltek-malang.ac.id/,Indonesia
